gen_name,hematopoietic stem cell,hematopoietic stem cell and thrombocyte,marrow-derived B cell,mature T cell,neutrophil and myeloid cell,thymic T cell
ENSDARG00000001249,53.98692060578247,67.26135842129418,0.0,0.0,62.7638825149151,70.94997705369435
ENSDARG00000001303,84.96443322625056,97.20628728774668,86.39284075263882,90.00688389169343,96.31138136759981,98.46259752179898
ENSDARG00000001313,68.33983478659937,62.92450665442863,63.337540156034876,34.61450206516751,0.0,0.0
ENSDARG00000001431,29.193437356585587,25.969481413492428,38.108077099586964,40.94194584671868,30.122762735199633,39.96099128040386
ENSDARG00000001442,0.0,52.70192748967416,0.0,48.02661771454796,0.0,0.0
ENSDARG00000001447,16.77374942634236,54.19343735658559,36.17485084901331,37.402478201009636,24.650068838916933,62.52294630564479
ENSDARG00000001452,56.53969710876549,95.02638825149151,0.0,61.570674621385955,99.5009178522258,28.49357503441946
ENSDARG00000001463,16.722120238641576,0.0,0.0,56.55117026158788,0.0,28.32721431849472
ENSDARG00000001470,66.81390546122074,50.72280862781092,43.15626434144103,83.44424047728316,90.72969251950435,45.61725562184488
ENSDARG00000001498,56.71179440110142,80.9775126204681,94.20605782469022,85.9453877925654,75.85474988526848,97.03992657182194
ENSDARG00000001549,30.00229463056448,18.90201927489674,32.70422212023864,0.0,61.496099128040385,26.359568609453877
ENSDARG00000001557,72.48737953189537,57.25103258375401,28.17232675539238,33.05415328132171,71.62689307021569,77.0709040844424
ENSDARG00000001558,75.15488756310233,82.22234970169802,79.29095915557596,0.0,65.48301973382286,0.0
ENSDARG00000001578,90.02409362092703,88.54979348324919,86.53051858650758,0.0,91.69917393299679,85.48646167966957
ENSDARG00000001621,51.11289582377238,55.08260670032124,57.19940339605324,65.38549793483249,47.94056906837999,79.30816888480955
ENSDARG00000001634,30.23175768701239,31.413492427719135,40.02409362092703,51.99059201468563,45.92703074804956,30.444011014226707
ENSDARG00000001656,84.08673703533731,87.02960073428177,94.37241854061497,94.02822395594309,92.00894905920147,96.93093162000918
ENSDARG00000001676,34.99311610830656,37.82698485543827,59.56860945387793,58.84006424965581,48.47407067462138,52.042221202386415
ENSDARG00000001710,49.764800367140886,30.41532813217072,41.756539697108764,0.0,37.46558054153281,0.0
ENSDARG00000001712,26.858650757228087,40.46007342817806,25.269619091326295,33.3295089490592,42.02042221202387,41.1599357503442
ENSDARG00000001721,0.0,0.0,90.44860027535567,0.0,0.0,0.0
ENSDARG00000001729,64.26112895823772,59.94148692060578,79.23932996787516,74.13377696190913,86.47315282239559,81.21271225332721
ENSDARG00000001734,40.85016062413951,57.773061037173015,89.61679669573198,0.0,81.07503441945848,0.0
