gen_name,mesenchymal stem cell of the bone marrow
ENSG00000033050,80.7316955915581
ENSG00000033100,51.76193452237873
ENSG00000033122,63.9248113071487
ENSG00000033170,90.8514013749339
ENSG00000033178,97.86067977501082
ENSG00000033327,44.13730109129369
ENSG00000033627,70.8764001730686
ENSG00000033800,89.5870390846594
ENSG00000033867,92.44267102543147
ENSG00000034053,37.45973751261958
ENSG00000034152,66.641026873708
ENSG00000034239,34.45026681409548
ENSG00000034510,99.01447045815105
ENSG00000034533,72.89072640738426
ENSG00000034677,84.95745396855921
ENSG00000034693,86.58718330849479
ENSG00000034713,92.24556511706167
ENSG00000035115,72.35229075525214
ENSG00000035141,80.71246574683909
ENSG00000035403,98.0674006057401
ENSG00000035499,43.03639248113071
ENSG00000035664,47.54579106773713
ENSG00000035681,83.89500504783423
ENSG00000035687,73.15032931109081
ENSG00000035720,18.51834046440075
ENSG00000035862,96.60112494591606
ENSG00000035928,89.09667804432479
ENSG00000036054,95.31753281092256
ENSG00000036257,88.23614249314937
ENSG00000036448,46.22854670448536
ENSG00000036530,77.65011297533772
ENSG00000036549,89.21205711263882
ENSG00000036565,34.613720494207016
ENSG00000036672,42.9883178693332
ENSG00000036828,63.01139368299601
ENSG00000037042,64.20364405557424
ENSG00000037241,83.65943945002644
ENSG00000037280,26.73429162059516
ENSG00000037474,70.94370462958511
ENSG00000037637,79.97211672515745
ENSG00000037749,84.53439738474113
ENSG00000037757,47.57944329599538
ENSG00000037897,69.51108119801933
ENSG00000037965,53.26666987164078
ENSG00000038002,87.26503533483967
