gen_name,adipocyte,preadipocyte
ENSMUSG00000002043,40.87949883306719,54.839700282520575
ENSMUSG00000002052,85.26593784547353,94.73037710354994
ENSMUSG00000002055,25.623387790197764,65.52634811448225
ENSMUSG00000002058,0.0,69.43250214961307
ENSMUSG00000002059,76.53850878270482,80.38324530156001
ENSMUSG00000002064,66.53359538140278,72.3068419113131
ENSMUSG00000002068,23.28338042009581,0.0
ENSMUSG00000002076,13.683822626212997,0.0
ENSMUSG00000002083,28.946075420709988,49.22613929492691
ENSMUSG00000002102,84.60877042132417,88.96941407689472
ENSMUSG00000002103,78.086230192851,77.16496744871637
ENSMUSG00000002105,70.47659992629897,0.0
ENSMUSG00000002107,98.07148998894485,59.37845473529051
ENSMUSG00000002108,78.70654710723498,81.72214715636899
ENSMUSG00000002109,19.002579535683576,30.493796830856162
ENSMUSG00000002111,64.44539982803096,19.309667117061785
ENSMUSG00000002129,75.48826925439135,79.29615526348115
ENSMUSG00000002147,89.3010686647832,62.805552143471324
ENSMUSG00000002204,5.588993981083405,0.0
ENSMUSG00000002205,49.65606190885641,24.315194693526593
ENSMUSG00000002210,40.89792408794988,68.60950743151946
ENSMUSG00000002221,68.54808991524382,62.33263726814887
ENSMUSG00000002222,83.66908242230684,63.43815256111043
ENSMUSG00000002227,55.98206608524752,82.10293575727798
ENSMUSG00000002228,31.12639724849527,0.0
ENSMUSG00000002233,86.73381648446137,73.00700159685543
ENSMUSG00000002249,47.60471686524997,51.41874462596733
ENSMUSG00000002250,39.25807640339025,59.366171232035384
ENSMUSG00000002257,31.44576833312861,0.0
ENSMUSG00000002265,95.8358923965115,29.750644883920895
ENSMUSG00000002266,55.846947549441104,0.0
ENSMUSG00000002274,5.9267903205994354,24.689841542808008
ENSMUSG00000002279,46.15526348114482,80.26041026900872
ENSMUSG00000002280,37.15145559513574,56.47340621545265
ENSMUSG00000002289,96.57290259181919,97.13180198992752
ENSMUSG00000002297,51.51087090038079,69.65974695983294
ENSMUSG00000002307,72.9762928387176,59.18806043483602
ENSMUSG00000002308,64.3532735536175,49.42267534700896
ENSMUSG00000002319,68.98415428080088,65.88871146050855
ENSMUSG00000002320,84.84829873479917,70.51345043606436
ENSMUSG00000002325,85.24751259059083,20.949514801621422
ENSMUSG00000002326,62.498464562093105,21.25660238299963
ENSMUSG00000002329,53.02174180076158,56.547107234983415
ENSMUSG00000002332,74.19850141260288,0.0
ENSMUSG00000002341,73.8852720795971,53.50079842771158
ENSMUSG00000002342,51.044097776685916,69.26053310404127
ENSMUSG00000002343,32.453015600049135,55.49686770666994
ENSMUSG00000002345,38.20783687507677,59.58113253900012
ENSMUSG00000002346,44.638250829136474,56.454980960569955
ENSMUSG00000002365,82.74781967817222,93.31777422921017
ENSMUSG00000002372,75.34086721532981,51.308193096671175
ENSMUSG00000002379,61.835155386316174,68.22871883061049
ENSMUSG00000002384,31.034270974081807,0.0
ENSMUSG00000002393,48.14519100847562,69.99140154772141
ENSMUSG00000002395,90.17933914752487,56.85419481636163
ENSMUSG00000002396,52.419850141260284,56.31986242476354
ENSMUSG00000002409,46.7080211276256,70.31691438398231
ENSMUSG00000002413,77.35536174917085,85.87397125660239
ENSMUSG00000002416,97.7214101461737,80.62891536666257
ENSMUSG00000002428,70.74069524628423,88.20169512344921
ENSMUSG00000002455,70.31691438398231,54.7844245178725
ENSMUSG00000002458,68.38840437292716,62.351062523031565
ENSMUSG00000002459,22.62007124431888,27.889694140768945
ENSMUSG00000002475,15.698317160054048,57.62191376980715
ENSMUSG00000002477,60.31814273430782,69.6843139663432
ENSMUSG00000002486,40.60926176145437,35.82483724358187
ENSMUSG00000002489,67.25832207345535,19.309667117061785
ENSMUSG00000002496,88.613192482496,84.65790443434467
ENSMUSG00000002504,63.54870409040658,0.0
ENSMUSG00000002524,86.63554845842035,90.25304016705564
ENSMUSG00000002546,68.57265692175409,63.28460877042132
ENSMUSG00000002550,57.6833312860828,93.25021496130697
ENSMUSG00000002565,32.58813413585555,58.764279572534086
ENSMUSG00000002578,30.223559759243336,0.0
ENSMUSG00000002580,65.20083527822135,59.41530524505589
ENSMUSG00000002602,99.63763665397371,88.71146050853703
ENSMUSG00000002603,39.07996560619089,46.16754698439995
ENSMUSG00000002608,59.255619702739224,78.02481267657537
ENSMUSG00000002617,39.208942390369735,0.0
