gen_name,mesenchymal stem cell of adipose
ENSMUSG00000002059,83.15815085158151
ENSMUSG00000002064,91.09975669099757
ENSMUSG00000002068,20.043795620437958
ENSMUSG00000002076,41.819951338199516
ENSMUSG00000002083,24.02433090024331
ENSMUSG00000002102,89.61070559610705
ENSMUSG00000002103,85.78588807785889
ENSMUSG00000002105,82.70559610705595
ENSMUSG00000002107,98.78832116788321
ENSMUSG00000002108,67.2214111922141
ENSMUSG00000002109,58.68613138686132
ENSMUSG00000002129,73.0559610705596
ENSMUSG00000002147,92.99756690997567
ENSMUSG00000002204,23.29440389294404
ENSMUSG00000002205,66.83211678832117
ENSMUSG00000002210,51.873479318734795
ENSMUSG00000002221,70.75425790754258
ENSMUSG00000002222,83.91240875912409
ENSMUSG00000002227,61.32846715328467
ENSMUSG00000002233,91.88807785888078
ENSMUSG00000002249,38.257907542579076
