gen_name,hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,short term hematopoietic stem cell
ENSMUSG00000042306,12.158826685744947,39.94991951350384,0.0
ENSMUSG00000042308,67.70881774280093,66.485423001252,65.98461813629046
ENSMUSG00000042312,71.90126989805043,79.53138973350026,74.24074405294223
ENSMUSG00000042320,58.57986049007333,57.98604900733322,59.83902700769094
ENSMUSG00000042323,89.54748703273118,88.97156143802539,90.6242174923985
ENSMUSG00000042328,77.02378823108567,75.76104453586122,76.00429261312824
ENSMUSG00000042331,76.78769450903238,69.62618494008227,77.29565372920766
ENSMUSG00000042333,77.63906277946701,80.05008048649616,79.87122160615274
ENSMUSG00000042340,42.69361473797174,50.828116615989984,39.71740296905742
ENSMUSG00000042345,87.48345555356823,71.60078697907352,73.79717402969057
ENSMUSG00000042348,66.19924879270256,69.96959399034162,69.39366839563584
ENSMUSG00000042349,97.4816669647648,95.71811840457879,98.00751207297442
ENSMUSG00000042350,79.9892684671794,82.03541405830799,80.77624754069039
ENSMUSG00000042351,58.00751207297442,55.99356108030764,45.48739044893579
ENSMUSG00000042353,32.93507422643534,15.564299767483455,15.453407261670543
ENSMUSG00000042354,92.82775889822929,92.53800751207297,91.67948488642462
ENSMUSG00000042359,28.334823824002864,51.61151851189412,40.211053478805226
ENSMUSG00000042363,62.20711858343767,61.88517259881953,66.87891253800751
ENSMUSG00000042364,67.26524771954927,62.013950992666786,64.40350563405474
ENSMUSG00000042367,55.45340726167054,55.63584331962082,56.12591665176176
ENSMUSG00000042369,61.83509211232337,57.11679484886425,61.248434984796994
ENSMUSG00000042371,31.711679484886425,31.908424253264172,0.0
ENSMUSG00000042377,65.17259881953139,80.60454301556072,66.9826506886067
ENSMUSG00000042379,45.06886066893222,28.198891074941873,25.74137005902343
ENSMUSG00000042380,80.60096583795385,84.4643176533715,82.47898408155964
ENSMUSG00000042385,6.37095331783223,0.0,22.722232158826685
ENSMUSG00000042386,57.649794312287604,56.46574852441424,58.60490073332141
ENSMUSG00000042388,24.943659452691826,17.22768735467716,20.600965837953854
ENSMUSG00000042389,71.92988731890539,73.21767125737793,73.97603291003398
ENSMUSG00000042390,86.2278662135575,86.23502056877123,87.52995886245752
ENSMUSG00000042396,95.09568950098372,95.28527991414774,95.7288499373994
ENSMUSG00000042401,21.913790019674476,15.020568771239493,23.723841888749778
ENSMUSG00000042404,86.5211947773207,85.46235020568771,87.34752280450724
ENSMUSG00000042406,96.46574852441424,96.66964764800572,97.31711679484887
ENSMUSG00000042408,73.83652298336612,79.02700769093185,77.97531747451261
ENSMUSG00000042410,80.8764085136827,75.8969772849222,78.68717581827937
ENSMUSG00000042417,26.692899302450368,41.30209264890002,8.560186013235557
ENSMUSG00000042419,69.36147379717403,67.37614022536219,70.09837238418888
