gen_name,adipose tissue derived mesenchymal stem cell
ENSMUSG00000001089,86.4621480458666
ENSMUSG00000001098,75.72191871285345
ENSMUSG00000001100,81.09503512036981
ENSMUSG00000001105,95.06513777991235
ENSMUSG00000001119,98.85933841628145
ENSMUSG00000001120,35.59464489403854
ENSMUSG00000001123,90.09425466770728
ENSMUSG00000001127,80.68679834303897
ENSMUSG00000001128,28.984811190490483
ENSMUSG00000001131,91.10884312901483
ENSMUSG00000001134,66.64465389926157
ENSMUSG00000001138,50.35120369814492
ENSMUSG00000001143,65.0477276820556
ENSMUSG00000001150,47.925796962238095
ENSMUSG00000001151,60.72522062796422
ENSMUSG00000001156,49.09647595605451
ENSMUSG00000001157,58.93618298613196
ENSMUSG00000001158,88.61739809089272
ENSMUSG00000001166,22.06879990394429
ENSMUSG00000001173,64.44137599807888
ENSMUSG00000001175,98.68523743771387
ENSMUSG00000001211,80.48267995437354
ENSMUSG00000001227,31.494266674671312
ENSMUSG00000001228,35.64867623221468
ENSMUSG00000001229,65.81617338056073
ENSMUSG00000001240,97.74869424266073
ENSMUSG00000001247,16.113345740529507
ENSMUSG00000001248,61.39761061415621
ENSMUSG00000001249,7.504352524464189
ENSMUSG00000001270,93.0419643393168
ENSMUSG00000001280,73.79480098457105
ENSMUSG00000001281,46.36489163714955
ENSMUSG00000001285,71.77763102599508
ENSMUSG00000001288,71.8556762922495
ENSMUSG00000001289,98.65522002761602
ENSMUSG00000001300,37.43771387404695
ENSMUSG00000001305,68.3136219007024
ENSMUSG00000001313,43.020952152248306
ENSMUSG00000001323,57.129134898240984
ENSMUSG00000001333,15.212823437593803
ENSMUSG00000001334,42.61271537491746
ENSMUSG00000001348,54.877829140901724
ENSMUSG00000001349,20.904124392147448
ENSMUSG00000001366,71.11124452182266
ENSMUSG00000001376,61.24152008164736
ENSMUSG00000001380,70.52290328390467
ENSMUSG00000001383,86.39610974365132
ENSMUSG00000001403,60.509095275259654
ENSMUSG00000001415,61.15146785135378
ENSMUSG00000001416,88.27519961577715
ENSMUSG00000001418,89.25977066698685
ENSMUSG00000001419,70.14468391667167
ENSMUSG00000001420,15.81317163955094
ENSMUSG00000001424,73.11040403433992
ENSMUSG00000001435,92.51365792159453
