gen_name,basophil mast progenitor cell,granulocyte monocyte progenitor cell
ENSMUSG00000000740,99.73440294866931,99.84823025638246
ENSMUSG00000000743,90.92633747086563,87.88552225052848
ENSMUSG00000000751,83.82568160875928,91.1756734782373
ENSMUSG00000000753,3.729199414602417,77.26164019730066
ENSMUSG00000000759,61.927475743942765,65.36397636728279
ENSMUSG00000000766,8.108840587565721,27.594991598460624
ENSMUSG00000000776,73.05002981191393,61.82448913220229
ENSMUSG00000000787,97.31150739877499,96.24369884546587
ENSMUSG00000000791,43.823513469564745,28.60859667190634
ENSMUSG00000000804,64.59970730120874,45.942869532223966
ENSMUSG00000000811,49.943086346143424,66.47514770448262
ENSMUSG00000000823,65.87890942598514,70.70843948181474
ENSMUSG00000000826,93.80996259959889,89.76638300178872
ENSMUSG00000000827,92.58496395468589,87.57114206732072
ENSMUSG00000000838,70.64339530597864,79.00699224890238
ENSMUSG00000000861,96.30332267331563,79.18586373245162
ENSMUSG00000000869,59.791858637324516,28.738685023578515
ENSMUSG00000000876,71.73288525123313,76.65998157081685
ENSMUSG00000000881,42.20824976963521,44.30050409236273
ENSMUSG00000000884,41.807144018646,52.376822592010406
ENSMUSG00000000901,52.019079624911924,40.901945904927096
ENSMUSG00000000902,93.26792780096483,93.68529459591306
ENSMUSG00000000915,80.23741124180172,87.41395197571684
ENSMUSG00000000916,71.39682367608,73.94438722966015
ENSMUSG00000000934,47.83457097945688,64.66475147704483
ENSMUSG00000000938,36.8692070030896,46.92937286573798
ENSMUSG00000000948,38.10504634397528,35.17263808336495
ENSMUSG00000000957,28.11534500514933,31.37297414494011
ENSMUSG00000000958,36.35969429237357,0.0
ENSMUSG00000000959,86.02634289121362,87.38685023578515
ENSMUSG00000000976,70.80600574556887,62.90855872947043
ENSMUSG00000000982,75.39704048999945,37.55217084936853
ENSMUSG00000001014,81.4461488427557,63.94384519486152
ENSMUSG00000001016,90.75288633530273,95.72334543877717
ENSMUSG00000001017,91.91284080437964,90.4439265000813
ENSMUSG00000001018,94.82898802103095,87.5006775434983
ENSMUSG00000001020,42.26787359748496,40.65803024554177
ENSMUSG00000001025,54.41487343487452,42.625616564583446
ENSMUSG00000001027,28.64653910781072,11.729633042441325
ENSMUSG00000001029,84.35687571142067,90.17290910076426
ENSMUSG00000001034,54.328147867093065,55.34175294053878
ENSMUSG00000001036,6.206298444360129,7.892026668112092
ENSMUSG00000001052,80.44880481326902,80.15068567402027
