gen_name,blastoderm cell,embryonic stem cell,morula cell,oocyte,totipotent stem cell,zygote
ENSG00000196792,83.11279868062746,80.4280289955126,83.04376174586737,76.43539293522035,75.90994515399072,78.07693782840487
ENSG00000196793,62.497602884209726,72.2509876117056,72.40823840754804,41.345453150768996,64.64541863230161,66.89678978253366
ENSG00000196796,48.07655428987842,23.426533195259463,73.41310934683389,27.668469297740963,49.5531776166916,51.854408775361485
ENSG00000196811,35.297050588731636,52.6636750661604,44.011045909561616,61.57711042074177,48.85513749856173,57.684194377325205
ENSG00000196812,65.30894028305143,62.60882905687877,21.04475894603613,55.816361753538146,71.0658535649906,68.59203006942047
ENSG00000196814,36.340275380661986,51.61661488896559,33.620987228167074,74.1840217849883,58.84248072718905,65.66946649790971
ENSG00000196821,95.79258236489855,83.92590035669083,96.41007939247498,87.92620718751198,96.45993940091282,92.32922947110038
ENSG00000196826,40.95424385379511,44.628542937138036,64.71829095232616,38.83327580255437,54.339738426724956,0.0
ENSG00000196832,39.830475971311316,37.03064472826295,34.56449200322172,35.26636750661604,32.74651938787251,37.989491044375406
ENSG00000196834,48.15326199516741,40.735626893721474,74.43332182717755,57.239289686649016,69.42430867180607,41.575576266635984
ENSG00000196839,79.3042611130288,59.690100870632456,61.638476584972956,79.36946266252446,83.45031258389906,82.07340927396157
ENSG00000196843,70.39082575844743,60.951942622636444,62.69704291796111,42.76838108387987,60.618264104629304,62.72389061481226
