gen_name,hematopoietic stem cell and hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,"megakaryocyte-erythroid progenitor cell, common myeloid progenitor and granulocyte monocyte progenitor cell"
ENSMUSG00000001661,38.456727386443596,43.511062465796265,27.28480963177234
ENSMUSG00000001663,59.909311234461725,69.67398952388399,55.05824407786724
ENSMUSG00000001665,77.93761238370729,77.74998045500743,65.4444531311078
ENSMUSG00000001666,74.52505668047846,72.3438355093425,75.97920412790243
ENSMUSG00000001672,17.836760222031113,16.53897271519037,11.601907591275115
ENSMUSG00000001674,90.61449456649207,91.80283011492456,93.09670862325072
ENSMUSG00000001687,87.53420373700258,85.74779141583926,76.53428191697287
ENSMUSG00000001700,64.90110233758111,67.88366820420609,60.44875302947384
ENSMUSG00000001707,90.1649597373153,90.77867250410445,94.96520991322022
ENSMUSG00000001729,84.9151747322336,85.16144163865218,84.95817371589399
ENSMUSG00000001739,50.30490188413729,27.175357673364086,66.12461887264483
ENSMUSG00000001741,97.01352513486044,96.31381440075053,91.47838323821436
ENSMUSG00000001750,91.87319208818701,90.41122664373388,88.92971620670784
ENSMUSG00000001751,70.47924321788757,69.14236572590102,67.37158939879603
ENSMUSG00000001755,81.38144007505277,81.83488390274411,81.56125400672349
ENSMUSG00000001761,81.47525603940271,76.3661949808459,78.10569931983426
ENSMUSG00000001763,60.554295989367525,71.71448674849503,80.10319756078492
ENSMUSG00000001767,81.76452192948167,83.60956922836368,83.42975529669299
ENSMUSG00000001768,58.322257837542026,63.99030568368384,55.941677742162454
ENSMUSG00000001773,0.0,0.0,13.263231959971854
ENSMUSG00000001774,93.47588147916504,93.74169337815653,95.1137518567743
ENSMUSG00000001783,96.87671018685012,97.33015401454146,95.59846767258229
ENSMUSG00000001785,91.25947932139786,90.16886873582988,91.79892111640997
ENSMUSG00000001786,89.51997498240951,89.23461809084513,87.96419357360644
ENSMUSG00000001794,89.70760691110937,86.87358298803846,90.16105073880072
ENSMUSG00000001802,33.9105621139864,0.0,29.208036900945977
ENSMUSG00000001815,30.830271284496913,15.835352982565867,16.535063716675786
ENSMUSG00000001827,26.151200062543978,12.94269408177625,47.27542803533735
ENSMUSG00000001829,81.5768900007818,78.60996012821515,82.13587678836683
ENSMUSG00000001833,97.62332890313502,97.92041279024313,97.2871550308811
ENSMUSG00000001844,83.79720115706355,83.57047924321789,82.65968258932061
ENSMUSG00000001847,98.28785865061371,98.35822062387616,97.99859276053475
ENSMUSG00000001855,78.4379641935736,78.89140802126495,82.88249550465171
ENSMUSG00000001864,52.77929794386678,52.09522320381518,34.33664295207568
ENSMUSG00000001865,74.1771558126808,64.77992338362911,94.43358611523728
ENSMUSG00000001870,58.165897896958796,57.15737628019701,60.73020092252365
ENSMUSG00000001891,76.6085528887499,78.5786881400985,70.09616136345869
ENSMUSG00000001901,26.147291064029393,48.721757485732155,37.362207802361034
ENSMUSG00000001909,87.8312876241107,89.12907513095145,91.20084434367915
ENSMUSG00000001910,68.56774294425769,66.83605660229848,72.39856148854663
ENSMUSG00000001911,76.32319599718552,77.06199671644126,75.5218513016965
ENSMUSG00000001918,96.13400046907982,94.5508560706747,96.07145649284654
ENSMUSG00000001924,97.65850988976624,97.91259479321398,97.54123993432883
ENSMUSG00000001930,63.08341802830115,82.55023063091235,63.43131889609882
ENSMUSG00000001942,87.56156672660464,87.40520678602141,79.1650379172856
ENSMUSG00000001943,48.25658666249707,52.92393088890627,37.11984989445704
ENSMUSG00000001946,87.48338675631302,94.92611992807443,62.53224923774528
ENSMUSG00000001948,53.209287780470646,51.528418419201,55.3084199828004
ENSMUSG00000001962,80.46282542412634,82.02642482995857,83.80501915409272
ENSMUSG00000001964,83.13267140958487,84.70017981393167,83.67602220311157
ENSMUSG00000001983,58.16980689547337,57.5834571182863,61.672269564537565
ENSMUSG00000001985,43.30779454303808,43.40942850441717,44.96911891173481
ENSMUSG00000001986,70.98741302478305,68.79837385661793,75.99093112344617
ENSMUSG00000001988,22.007661637088578,26.46001094519584,28.82886404503166
ENSMUSG00000001995,51.94277226174654,34.469548901571414,52.0522242201548
ENSMUSG00000001998,61.8872644828395,60.28066609334688,65.29200218903917
ENSMUSG00000001999,74.58369165819717,74.81432257055742,81.21726213744039
ENSMUSG00000002006,43.99186928308968,23.54780705183332,44.07786725041045
ENSMUSG00000002007,38.47627237901649,11.660542568993824,35.29043858963334
ENSMUSG00000002010,98.36212962239075,98.09240872488468,98.38558361347822
ENSMUSG00000002012,72.85982331326714,67.56703932452506,59.79595027753889
ENSMUSG00000002014,96.82589320616059,97.11906809475413,98.08068172934095
ENSMUSG00000002015,97.73278086154328,98.11586271597217,97.90477679618482
ENSMUSG00000002017,67.94230318192479,65.35063716675788,73.53998905480415
ENSMUSG00000002020,26.233289031350164,43.82769134547729,32.31178172152295
ENSMUSG00000002028,92.49472285200532,93.61660542568994,88.93362520522243
ENSMUSG00000002031,75.24822140567586,75.2208584160738,74.1341568290204
ENSMUSG00000002032,51.79813931670706,52.14604018450473,44.86357595184114
ENSMUSG00000002033,46.11445547650692,58.349620827144086,39.11734813540771
ENSMUSG00000002043,93.68305840043782,93.19443358611524,93.24525056680478
ENSMUSG00000002052,80.5918223751075,84.16855601594871,80.53318739738879
ENSMUSG00000002055,60.820107888359,60.85137987647564,75.15831443984051
ENSMUSG00000002057,30.45500742709718,31.66679696661715,28.39496520991322
ENSMUSG00000002058,70.69814713470409,79.24712688609178,82.19451176608553
ENSMUSG00000002059,55.202877022906726,56.86420139160347,53.56500664529747
ENSMUSG00000002064,90.88030646548354,91.32593229614572,89.0782581502619
ENSMUSG00000002068,68.77101086701587,79.23149089203346,89.39097803142835
ENSMUSG00000002076,50.089906965835354,49.77327808615433,39.652880931905244
ENSMUSG00000002083,61.51590962395434,64.19748260495662,62.008443436791495
ENSMUSG00000002100,30.849816277069813,15.51481510437026,38.51927136267688
ENSMUSG00000002102,96.16918145571105,96.30990540223596,97.1229770932687
ENSMUSG00000002103,75.31858337893831,72.44937846923618,72.95754827613166
ENSMUSG00000002104,52.407943084981625,38.31991243843327,56.93065436635134
ENSMUSG00000002105,69.62708154170902,79.40739582518958,65.45227112813697
ENSMUSG00000002107,98.09631772339927,97.70150887342662,96.97834414822923
ENSMUSG00000002108,66.73833163943398,56.16839965600813,52.2320381518255
ENSMUSG00000002109,79.6653897271519,76.95645375654757,75.57657728090064
ENSMUSG00000002111,96.14572746462356,94.38276913454773,92.357907903995
ENSMUSG00000002129,90.36822766007349,89.5004299898366,92.41263388319912
ENSMUSG00000002147,92.08427800797435,91.07575639121256,88.42545539832695
ENSMUSG00000002190,21.90602767570948,15.93307794543038,43.75342037370026
ENSMUSG00000002204,97.0017981393167,96.55617230865452,93.41724650144633
ENSMUSG00000002205,92.58462981784066,92.48299585646157,87.36220780236104
ENSMUSG00000002210,70.45969822531467,72.09365960440935,72.31256352122585
ENSMUSG00000002221,78.6998670940505,79.68102572121023,84.27800797435697
ENSMUSG00000002222,85.14971464310844,80.58791337659291,84.85263075600031
ENSMUSG00000002227,81.18989914783833,85.7399734188101,71.14768196388084
ENSMUSG00000002228,37.44038777265264,28.023610351028065,33.785474161519815
ENSMUSG00000002233,51.88804628254241,57.38800719255727,36.818857008834335
ENSMUSG00000002249,52.020952232038155,53.557188648268315,47.408333984833085
ENSMUSG00000002250,54.76116019075913,55.62113986396685,53.87381752794934
ENSMUSG00000002257,93.17879759205692,93.42506449847548,89.55124697052615
ENSMUSG00000002265,49.63255413962943,38.9179892111641,39.375342037370025
ENSMUSG00000002266,42.06082401688687,34.387459932765225,42.80744273317176
ENSMUSG00000002274,60.91001485419436,55.43741693378157,67.05886951762959
ENSMUSG00000002279,71.63630677820343,74.3178797592057,70.99132202329763
ENSMUSG00000002280,78.03142834805723,80.7520913142053,81.72152294582128
ENSMUSG00000002289,66.01516691423657,64.2991165663357,75.40067234774452
ENSMUSG00000002297,71.9021186771949,73.22726917363771,81.98342584629818
ENSMUSG00000002307,76.66718786646861,77.4724415604722,81.26807911812993
ENSMUSG00000002308,79.50121178953951,76.13556406848565,82.581502619029
ENSMUSG00000002319,85.90415135642249,85.18489562973967,83.867563130326
ENSMUSG00000002320,87.1081228989133,84.82917676491283,89.13689312798061
