gen_name,spheroplast
YBR102C,68.45061632079887
YBR103W,59.4632547979404
YBR104W,36.23030113902325
YBR105C,63.53565298798565
YBR106W,93.60274613824309
YBR107C,42.814791699173036
YBR108W,72.25776252145421
YBR109C,92.90060851926978
YBR109W-A,1.5915119363395225
YBR110W,76.98548915587455
YBR111C,82.07208612888127
YBR111W-A,32.79762833515369
YBR112C,73.64643470120143
YBR113W,10.11078171321579
YBR114W,30.535184896239663
YBR115C,72.95990014042752
YBR116C,65.03354657512872
YBR117C,97.3630831643002
YBR118W,99.92198470900297
YBR119W,31.377750039007644
YBR120C,23.092526135122483
YBR121C,94.9134030269933
YBR122C,77.35996255266032
YBR123C,53.65891714776097
YBR124W,5.960368232173506
YBR125C,69.32438757996567
YBR126C,99.37587767202372
YBR126W-A,39.569355593696365
YBR126W-B,23.466999531908254
YBR127C,99.00140427523795
YBR128C,22.203151817756282
YBR129C,33.82743017631456
YBR130C,68.9499141831799
YBR131W,26.899672335777815
YBR132C,78.24933687002653
YBR133C,75.28475581213918
YBR134W,2.636916835699797
YBR135W,66.2661881728819
YBR136W,43.65735684194102
YBR137W,53.72132938055859
YBR138C,47.870182555780936
YBR139W,90.59135590575752
YBR140C,82.6181931658605
YBR141C,17.428616008737713
YBR142W,36.07427055702917
YBR143C,91.71477609611483
YBR144C,3.8383523170541425
YBR145W,19.95631143704166
YBR146W,76.03370260571072
YBR147W,18.161959744109847
YBR148W,10.85972850678733
YBR149W,91.69917303791543
YBR150C,32.235918239975035
YBR151W,89.54595100639725
YBR152W,18.692463722889684
YBR153W,30.129505383055076
YBR154C,62.05336245904197
YBR155W,34.966453424871276
YBR156C,22.09393041036043
YBR157C,37.50975191137463
YBR158W,90.71618037135278
YBR159W,69.12154782337339
YBR160W,78.26493992822593
YBR161W,71.3527851458886
YBR162C,96.33328132313933
YBR162W-A,47.83897643938212
YBR163W,62.42783585582774
YBR164C,78.81104696520518
YBR165W,37.33811827118115
YBR166C,64.03495085036667
YBR167C,22.780464971134343
YBR168W,48.369480418161956
YBR169C,95.50631923857075
YBR170C,68.99672335777812
YBR171W,78.59260415041348
YBR172C,79.93446715556249
YBR173C,83.0394757372445
YBR174C,7.458261819316586
YBR175W,50.78795443907006
YBR176W,57.96536121079732
YBR177C,78.70182555780933
YBR178W,4.009985957247621
YBR179C,57.65330004680918
YBR180W,8.800124824465595
YBR181C,98.04961772507411
YBR182C,26.181931658605084
YBR182C-A,7.879544390700577
YBR183W,55.422062724293966
YBR184W,1.5447027617413014
YBR185C,26.44718364799501
YBR186W,17.413012950538306
YBR187W,82.46216258386644
YBR188C,16.617256982368545
YBR189W,98.15883913246996
YBR190W,2.7149321266968327
YBR191W,97.45670151349664
YBR191W-A,6.0227804649711345
YBR192W,59.4788578561398
YBR193C,48.385083476361366
YBR194W,11.140583554376658
YBR195C,37.775003900764546
YBR196C,99.31346543922609
YBR196C-A,5.585894835387736
YBR196C-B,7.302231237322515
YBR197C,30.425963488843816
YBR198C,82.72741457325637
YBR199W,91.96442502730535
YBR200W,62.318614448431894
YBR201C-A,13.106568887501952
YBR201W,38.89842409112186
YBR202W,41.61335621781869
YBR203W,37.587767202371666
YBR204C,54.93836792011234
YBR205W,83.21110937743798
YBR206W,20.627242939616163
YBR207W,77.71883289124668
YBR208C,52.6447183647995
YBR209W,8.113590263691684
YBR210W,19.44141051646123
YBR211C,18.130753627711034
YBR212W,85.08347636136683
YBR213W,17.70947105632704
YBR214W,94.88219691059447
YBR215W,44.95241067249181
YBR216C,51.47448899984397
YBR217W,29.957871742861602
YBR218C,87.06506475269153
YBR219C,3.4482758620689653
YBR220C,72.52301451084413
YBR221C,96.64534248712748
YBR221W-A,1.5603058199407085
YBR222C,88.7501950382275
YBR223C,23.123732251521297
YBR224W,0.6865345607739117
YBR225W,33.999063816508034
YBR226C,12.217194570135746
YBR227C,46.777968481822434
YBR228W,33.35933843033235
YBR229C,77.3287564362615
YBR230C,82.54017787486347
YBR230W-A,12.451240443126853
YBR231C,26.47838976439382
YBR232C,9.939148073022313
YBR233W,48.35387735996255
YBR233W-A,30.87845217662662
YBR234C,95.8183804025589
YBR235W,62.25620221563426
YBR236C,66.57824933687002
YBR237W,66.3129973474801
YBR238C,23.732251521298174
YBR239C,23.74785457949758
YBR240C,11.031362146980808
YBR241C,70.52582306132001
YBR242W,30.207520674052112
YBR243C,62.178186924637224
YBR244W,46.6999531908254
YBR245C,78.28054298642535
YBR246W,64.0817600249649
YBR247C,39.38211889530348
YBR248C,60.633484162895925
YBR249C,92.04244031830238
YBR250W,24.4499921984709
YBR251W,53.48728350756748
YBR252W,63.31721017319395
YBR253W,25.02730535184896
YBR254C,31.362146980808237
YBR255C-A,27.711031362146983
YBR255W,36.38633172101732
YBR256C,70.99391480730223
YBR257W,25.30816039943829
YBR258C,19.47261663286004
YBR259W,22.6868466219379
YBR260C,70.58823529411765
YBR261C,56.09299422686846
YBR262C,37.696988609767516
YBR263W,88.04805741925418
YBR264C,40.50553908566079
YBR265W,71.18115150569511
YBR266C,0.4992978623810267
YBR267W,68.76267748478702
YBR268W,37.15088157278827
YBR269C,58.41784989858012
YBR270C,21.360586674988298
YBR271W,40.24028709627087
YBR272C,62.34982056483071
YBR273C,64.58105788734592
YBR274W,54.1738180683414
YBR275C,44.297082228116714
YBR276C,66.56264627867063
YBR277C,6.943360898736152
YBR278W,33.14089561554064
YBR279W,93.49352473084724
YBR280C,67.73287564362616
YBR281C,59.72850678733032
YBR282W,34.76361366827898
YBR283C,95.66234982056483
YBR284W,39.038851614916524
YBR285W,17.896707754719927
YBR286W,95.44390700577313
YBR287W,91.27789046653145
YBR288C,74.41098455297238
YBR289W,57.185208300826964
YBR290W,61.897331877047904
YBR291C,26.60321422998908
YBR292C,5.773131533780621
YBR293W,51.13122171945701
YBR294W,26.25994694960212
YBR295W,43.28288344515525
YBR296C,61.476049305663906
YBR296C-A,2.371664846309877
YBR297W,47.71415197378686
YBR298C,36.339522546419104
YBR299W,18.19316586050866
YBR300C,5.195818380402558
YBR301W,6.771727258542675
YBR302C,71.71165548447496
YCL001W,59.71290372913091
YCL001W-A,7.099391480730223
YCL001W-B,8.56607895147449
YCL002C,40.97363083164301
YCL004W,36.7764081760025
YCL005W,51.25604618505227
YCL005W-A,25.13652675924481
YCL007C,3.136214698080824
YCL008C,67.56124200343268
YCL009C,96.22405991574348
YCL010C,34.311124980496174
YCL011C,86.3317210173194
YCL012C,17.881104696520516
YCL014W,66.62505851146825
YCL016C,37.82181307536277
YCL017C,85.92604150413482
YCL021W-A,13.761897331877048
YCL022C,8.940552348260258
YCL024W,44.43750975191138
YCL025C,51.78655016383211
YCL026C-A,13.668278982680606
YCL026C-B,24.964893119051336
YCL027W,31.252925573412387
YCL028W,87.236698392885
YCL029C,49.3368700265252
YCL030C,92.99422686846623
YCL031C,82.30613200187237
YCL032W,55.734123888282106
YCL033C,41.27008893743174
YCL034W,81.04228428772039
YCL035C,72.85067873303167
YCL036W,21.625838664378218
YCL037C,66.50023404587299
YCL038C,44.07863941332501
YCL039W,70.83788422530816
YCL040W,99.40708378842254
