gen_name,"effector memory CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
ENSMUSG00000001930,50.536115036156595,44.16922949048292
ENSMUSG00000001942,72.42124511678165,78.60942565040313
ENSMUSG00000001946,21.15368631036489,29.818801429640097
ENSMUSG00000001948,33.3762779486327,26.007813149364146
ENSMUSG00000001962,86.08178871249272,81.2193500124678
ENSMUSG00000001964,76.80990773834262,66.10423073726207
ENSMUSG00000001983,46.33446928767351,55.19491314105228
ENSMUSG00000001985,46.44667941152024,50.078962679744
ENSMUSG00000001986,31.568448175546504,51.91172803590723
ENSMUSG00000001995,53.99384922284099,61.694788463136895
ENSMUSG00000001998,72.0388995096002,76.55224004654643
ENSMUSG00000001999,87.14570692378022,79.73152688887042
ENSMUSG00000002006,0.0,21.93084531626631
ENSMUSG00000002007,29.30762197656055,55.294655473360486
ENSMUSG00000002010,93.6206466627878,90.87357659379936
ENSMUSG00000002014,93.84506691048125,91.45540686559721
ENSMUSG00000002015,97.72670600947552,94.85080209458899
ENSMUSG00000002017,68.86792452830188,71.93500124677915
ENSMUSG00000002020,36.53062920787964,44.248192170226915
ENSMUSG00000002028,96.04771008228742,97.63111960768016
ENSMUSG00000002031,74.24154268140637,74.51999002576677
ENSMUSG00000002032,27.242124511678167,34.319674175047794
ENSMUSG00000002033,99.72570858615244,98.91530213614828
ENSMUSG00000002043,69.91937494805087,63.510930097248774
ENSMUSG00000002052,82.32482752888372,91.00241043969744
ENSMUSG00000002055,42.058016789959275,43.84091097996842
ENSMUSG00000002057,29.091513589892777,30.10140470451334
ENSMUSG00000002058,70.87939489651734,53.81098828027595
ENSMUSG00000002059,49.41401379768931,62.50103898262821
ENSMUSG00000002064,88.19715734352923,81.56013631452083
ENSMUSG00000002068,58.203806832349755,59.50045715235641
ENSMUSG00000002076,53.07954451001579,51.74133488488073
ENSMUSG00000002083,57.01105477516416,51.58756545590558
ENSMUSG00000002100,34.664616407613664,29.98503865015377
ENSMUSG00000002102,95.97290333305627,93.64558224586484
ENSMUSG00000002103,75.92885046962014,80.08062505194913
ENSMUSG00000002104,41.40137976893026,20.443022192668938
ENSMUSG00000002105,67.7167317762447,69.91106308702518
ENSMUSG00000002107,99.12725459230322,97.9843737012717
ENSMUSG00000002108,0.0,34.785138392486076
ENSMUSG00000002109,87.27454076967834,87.31610007480674
ENSMUSG00000002111,22.51267558806417,39.99667525558973
ENSMUSG00000002129,84.80176211453745,86.30620896018618
ENSMUSG00000002147,95.43678829689968,96.97448258665116
ENSMUSG00000002204,35.799185437619485,69.52871747984373
ENSMUSG00000002205,92.46529798021777,88.70002493558307
ENSMUSG00000002210,70.55107638600283,75.79170476269637
ENSMUSG00000002221,70.61757127420829,84.45681988197158
ENSMUSG00000002222,81.8261158673427,86.6760867758291
ENSMUSG00000002227,73.28567866345274,65.93383758623555
ENSMUSG00000002228,69.05909733189262,59.895270551076386
ENSMUSG00000002233,60.876070152107054,42.54841659047461
ENSMUSG00000002240,41.47618651816142,7.671847726706009
ENSMUSG00000002249,44.18585321253429,50.378189676668605
ENSMUSG00000002250,56.82819383259912,62.38882885878149
ENSMUSG00000002257,88.06001163660544,81.69728202144461
ENSMUSG00000002265,34.348765688637684,34.049538691713074
ENSMUSG00000002266,38.36755049455573,61.73219183775247
ENSMUSG00000002274,58.58615243953121,46.708503033829274
ENSMUSG00000002279,85.3046297065913,68.7390906824038
ENSMUSG00000002280,81.57260410605934,72.27994347934502
ENSMUSG00000002289,49.89194580666611,51.354833347186435
ENSMUSG00000002297,80.72479428143961,84.0329149696617
ENSMUSG00000002307,79.41567616989444,81.56429224503367
ENSMUSG00000002308,65.07771590059014,70.74224918959355
ENSMUSG00000002319,69.89028343446097,89.38159753968914
ENSMUSG00000002320,82.09209542016458,81.01570941733854
ENSMUSG00000002324,42.984789294323,31.622475272213446
ENSMUSG00000002325,93.80350760535285,88.55041143712077
ENSMUSG00000002326,80.6250519491314,76.75588064167567
ENSMUSG00000002329,91.9915219017538,87.88546255506607
ENSMUSG00000002332,62.84182528468124,68.26531460393981
ENSMUSG00000002341,57.18144792619068,67.00606765854874
ENSMUSG00000002342,71.80616740088107,73.35632948217106
ENSMUSG00000002343,38.4340453827612,58.935250602609926
ENSMUSG00000002345,77.72836838168065,72.82852630704014
ENSMUSG00000002346,66.17903748649323,64.74108552904995
ENSMUSG00000002365,53.395395228991774,70.27262904164242
ENSMUSG00000002372,82.2624885711911,83.13523397888787
ENSMUSG00000002379,92.81439614329649,88.14313024686228
ENSMUSG00000002384,36.4766021112127,42.34062006483252
ENSMUSG00000002393,48.12983126922118,44.97132407946139
ENSMUSG00000002395,88.08494721968249,90.03823456071814
ENSMUSG00000002396,67.7666029423988,55.26971989028343
ENSMUSG00000002409,38.85795029507106,32.83600698196326
ENSMUSG00000002413,71.9100656637021,90.51201063918212
ENSMUSG00000002416,91.434627213033,86.97115784224087
ENSMUSG00000002428,90.95253927354334,88.91613332225086
ENSMUSG00000002455,87.09999168813897,81.86351924195827
ENSMUSG00000002458,95.20405618818053,92.9764774332973
ENSMUSG00000002459,48.69919374948051,48.27944476768348
ENSMUSG00000002475,26.352755381930017,40.81954949713241
ENSMUSG00000002477,94.57235475022857,94.53495137561299
ENSMUSG00000002486,75.5465048624387,69.50378189676668
ENSMUSG00000002489,84.43604022940735,56.61208544593135
ENSMUSG00000002496,74.29972570858615,80.96999418169727
