gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000001248,79.41722674212947,67.00123806154934
ENSMUSG00000001249,92.3903431199151,86.29288998938804
ENSMUSG00000001260,26.737707817474355,35.70481075344888
ENSMUSG00000001270,95.25114962858153,92.35939158118146
ENSMUSG00000001280,70.73753095153873,66.95702157764416
ENSMUSG00000001281,39.12274495932083,40.65705695083127
ENSMUSG00000001285,80.77025114962858,87.73434736469756
ENSMUSG00000001288,81.36275203395826,81.05323664662187
ENSMUSG00000001289,90.97983728333922,91.65634948708879
ENSMUSG00000001300,52.06933144676336,58.547046338875134
ENSMUSG00000001305,67.11620091970286,77.68836222143615
ENSMUSG00000001313,37.69013088079236,50.561549345596035
ENSMUSG00000001323,69.78687654757694,62.45136186770428
ENSMUSG00000001333,34.22798019101521,32.839582596391935
ENSMUSG00000001334,55.26176158471878,44.9770074283693
ENSMUSG00000001348,94.53042094092677,95.19366819950477
ENSMUSG00000001349,37.398302087018045,17.372656526353026
ENSMUSG00000001366,91.93933498408207,90.41828793774319
ENSMUSG00000001376,76.23363990095507,77.78121683763707
ENSMUSG00000001380,90.61284046692607,90.3784931022285
ENSMUSG00000001383,78.71418464803679,87.72550406791652
ENSMUSG00000001403,93.13760169791298,98.01025822426601
ENSMUSG00000001415,82.22055182171914,82.8970640254687
ENSMUSG00000001416,97.75822426600637,98.32861690838345
ENSMUSG00000001418,94.7117085249381,93.12875840113193
ENSMUSG00000001419,79.13424124513618,83.83003183586841
ENSMUSG00000001420,75.95949770074284,80.01857092324019
ENSMUSG00000001424,93.27025114962858,93.59303148213654
ENSMUSG00000001435,51.52989034311991,43.0314821365405
ENSMUSG00000001436,72.03307392996109,72.42660063671737
ENSMUSG00000001440,92.2798019101521,91.65192783869827
ENSMUSG00000001441,86.04969932790945,86.06738592147153
ENSMUSG00000001444,19.21206225680934,12.30986911920764
ENSMUSG00000001445,87.93774319066148,88.97240891404316
ENSMUSG00000001467,92.73081004598515,92.62469048461266
ENSMUSG00000001472,96.58206579412804,94.89299610894942
ENSMUSG00000001473,56.150512911213305,48.45684471170853
ENSMUSG00000001482,74.10240537672445,70.45012380615493
ENSMUSG00000001496,19.17226742129466,11.027591085956844
ENSMUSG00000001497,28.65670321896003,29.16961443226035
ENSMUSG00000001504,51.777502652989035,56.01344181110718
ENSMUSG00000001506,37.46462681287584,26.790767598160592
ENSMUSG00000001507,81.42465511142554,84.05111425539441
ENSMUSG00000001508,22.40891404315529,6.6280509373894585
ENSMUSG00000001510,4.961089494163424,2.2859922178988326
ENSMUSG00000001517,63.14998231340644,70.88786699681641
ENSMUSG00000001518,81.42023346303502,76.07888220728688
ENSMUSG00000001520,54.08560311284047,54.15634948708878
ENSMUSG00000001521,52.46285815351963,57.06137247966042
ENSMUSG00000001524,68.84506544039618,72.47081712062257
ENSMUSG00000001525,99.08914043155288,99.56225680933852
ENSMUSG00000001542,95.73753095153873,86.97382384152812
ENSMUSG00000001552,97.49292536257516,98.90343119915104
ENSMUSG00000001555,43.92907675981606,50.68093385214007
ENSMUSG00000001558,28.961796957905904,18.95560665015918
ENSMUSG00000001566,51.22479660417404,24.9336752741422
ENSMUSG00000001569,81.48213654050231,78.34276618323311
ENSMUSG00000001576,94.83109303148214,95.59161655465157
ENSMUSG00000001583,85.10788822072868,79.51892465511142
ENSMUSG00000001588,23.859214715245844,27.90944464096215
ENSMUSG00000001604,82.29129819596746,63.85744605588963
ENSMUSG00000001622,40.40060134418111,35.912628227803324
ENSMUSG00000001627,92.62026883622214,93.0535903784931
ENSMUSG00000001630,85.62522108241953,76.58737177219668
ENSMUSG00000001632,69.34029006013441,79.12539794835514
ENSMUSG00000001642,92.46993279094447,94.90183940573046
ENSMUSG00000001655,9.957552175451008,3.347187831623629
ENSMUSG00000001657,31.181464449946937,32.269189954014855
ENSMUSG00000001661,11.160240537672445,8.754863813229571
ENSMUSG00000001663,94.76034665723382,96.08684117438982
ENSMUSG00000001665,95.68004952246197,93.57534488857446
ENSMUSG00000001666,73.36841174389812,77.31252210824195
ENSMUSG00000001672,49.59320834807216,41.46621860629643
ENSMUSG00000001674,76.68906968517864,80.92500884329678
ENSMUSG00000001687,91.23629288998939,89.86558188892819
ENSMUSG00000001700,75.1768659356208,76.10541209763
ENSMUSG00000001707,75.34488857446055,82.67155995755218
