gen_name,mix of stromal fibroblasts and epithelial tumour cells
ENSG00000032444,57.9608745684695
ENSG00000032742,60.32681242807825
ENSG00000033011,58.39355581127733
ENSG00000033030,73.49136939010357
ENSG00000033050,82.54545454545455
ENSG00000033100,72.76409666283084
ENSG00000033122,47.01495972382048
ENSG00000033170,72.75489067894131
ENSG00000033178,90.02991944764098
ENSG00000033327,49.45454545454545
ENSG00000033627,68.86075949367088
ENSG00000033800,80.24856156501727
ENSG00000033867,85.26582278481013
ENSG00000034053,60.14269275028769
ENSG00000034152,76.14729574223244
ENSG00000034239,55.355581127733025
ENSG00000034510,99.83889528193326
ENSG00000034533,52.49252013808976
ENSG00000034677,81.74453394706559
ENSG00000034693,54.47640966628309
ENSG00000034713,94.09436133486766
ENSG00000035115,64.98504027617952
ENSG00000035141,95.02416570771001
ENSG00000035403,93.6018411967779
ENSG00000035499,62.96892980437284
ENSG00000035664,39.13003452243959
ENSG00000035681,63.32336018411968
ENSG00000035687,89.59263521288838
ENSG00000035720,7.466052934407365
ENSG00000035862,97.70310701956272
ENSG00000035928,93.4361334867664
ENSG00000036054,77.15074798619102
ENSG00000036257,88.49252013808976
ENSG00000036448,16.56156501726122
ENSG00000036530,45.321058688147296
ENSG00000036549,81.88722669735327
ENSG00000036672,35.548906789413124
ENSG00000036828,56.888377445339465
ENSG00000037042,59.98158803222095
ENSG00000037241,93.51898734177215
ENSG00000037280,25.76294591484465
ENSG00000037474,74.60989643268124
ENSG00000037637,66.85385500575374
ENSG00000037749,49.93785960874568
ENSG00000037757,74.22324510932106
ENSG00000037897,61.22439585730724
ENSG00000037965,64.10126582278481
ENSG00000038002,53.57882623705409
ENSG00000038210,48.87917146144994
ENSG00000038219,94.86306098964327
ENSG00000038274,70.99654775604142
ENSG00000038295,39.986191024165706
ENSG00000038358,59.27272727272728
ENSG00000038382,92.4741081703107
ENSG00000038427,96.25316455696202
ENSG00000038532,54.563866513233606
ENSG00000038945,33.495972382048336
ENSG00000039068,54.89528193325661
ENSG00000039123,77.10932105868815
ENSG00000039139,42.60069044879172
ENSG00000039319,88.27617951668584
ENSG00000039523,72.94821634062141
ENSG00000039560,96.73647871116225
ENSG00000039600,21.164556962025316
ENSG00000039650,83.74223245109322
ENSG00000039987,41.49597238204833
ENSG00000040199,53.859608745684696
ENSG00000040275,85.44073647871116
ENSG00000040341,73.22899884925201
ENSG00000040487,58.5638665132336
ENSG00000040531,49.31645569620253
ENSG00000040608,46.752589182968926
ENSG00000040633,72.02761795166859
ENSG00000040731,12.027617951668585
ENSG00000040933,59.3601841196778
ENSG00000041353,64.36363636363637
ENSG00000041357,96.75489067894131
ENSG00000041515,27.714614499424627
ENSG00000041802,83.53049482163406
ENSG00000041880,47.73302646720368
ENSG00000041982,40.915995397008054
ENSG00000041988,63.30494821634062
ENSG00000042062,43.24971231300345
ENSG00000042088,61.7307249712313
ENSG00000042286,68.75489067894132
ENSG00000042304,24.7180667433832
ENSG00000042317,53.59723820483314
ENSG00000042429,72.18411967779056
ENSG00000042445,61.52819332566168
ENSG00000042493,88.71806674338319
ENSG00000042753,98.30609896432682
ENSG00000042781,8.147295742232451
ENSG00000042832,31.571921749136937
ENSG00000042980,33.93785960874568
ENSG00000043039,35.40161104718067
ENSG00000043093,84.31300345224396
ENSG00000043143,72.17491369390103
ENSG00000043355,22.126582278481013
ENSG00000043462,6.632911392405064
ENSG00000043514,61.56041426927503
ENSG00000043591,26.342922899884925
ENSG00000044090,59.17146144994246
ENSG00000044115,94.89067894131186
ENSG00000044446,59.61795166858458
ENSG00000044459,73.32566168009205
ENSG00000044524,33.127733026467205
ENSG00000044574,98.72957422324511
ENSG00000046604,92.63521288837745
ENSG00000046647,51.87111622554661
ENSG00000046651,80.38665132336018
ENSG00000046653,46.65592635212889
