gen_name,luminal epithelial cell of mammary gland,myoepithelial cell of mammary gland
ENSG00000011332,42.454591750127314,42.229672381599045
ENSG00000011347,66.35545747750807,30.75454082498727
ENSG00000011376,60.486335087421494,70.57800033950093
ENSG00000011405,85.69427940926838,90.45153624172467
ENSG00000011422,94.58920387031064,90.67645561025293
ENSG00000011426,56.980987947716855,16.274826005771516
ENSG00000011451,48.28552028518078,48.76506535392972
ENSG00000011454,88.83466304532337,91.18570701069429
ENSG00000011465,51.62960448141233,57.0701069427941
ENSG00000011478,51.59141062637922,53.3016465795281
ENSG00000011485,56.25106094041759,54.82940078085215
ENSG00000011523,77.635375997284,75.93787132914616
ENSG00000011566,79.91003225258869,78.1870650144288
ENSG00000011638,91.78407740621287,86.66610083177729
ENSG00000012048,55.631471736547276,53.662366321507385
ENSG00000012061,82.81276523510441,79.28619928704805
ENSG00000012124,46.337633678492615,48.06908843999321
ENSG00000012171,29.124936343574948,34.158037684603634
ENSG00000012174,62.17535223221864,62.64216601595655
ENSG00000012211,56.891868952639626,60.75793583432354
ENSG00000012223,99.91512476659311,98.67594635885249
ENSG00000012232,67.50976065184179,69.84807333220166
ENSG00000012504,31.535392972330673,39.377864539127486
ENSG00000012660,90.12476659310813,88.59276863011372
ENSG00000012779,66.61008317772874,20.32337463928026
ENSG00000012817,34.62909523001188,39.26328297402818
ENSG00000012822,85.10015277542013,86.91223900865728
ENSG00000012963,72.31794262434221,79.62570022067561
ENSG00000012983,92.62009845527075,92.69224240366661
ENSG00000013016,46.73654727550501,85.90222373111526
ENSG00000013275,95.38278730266508,98.66321507384144
ENSG00000013288,58.9076557460533,62.9137667628586
ENSG00000013293,53.01307078594466,58.55966728908505
ENSG00000013297,48.005432014938044,82.80852147343406
ENSG00000013306,87.71006620268206,85.83007978271941
ENSG00000013364,86.65336954676626,77.23221863860125
ENSG00000013374,92.02172805975216,92.1108470548294
ENSG00000013375,96.57104057036156,90.68494313359362
ENSG00000013392,69.02478356815482,74.94907485995587
ENSG00000013441,98.7141402138856,98.69716516720422
ENSG00000013503,51.748429808181974,69.2327278900017
ENSG00000013523,54.7105754540825,72.19062977423188
ENSG00000013561,85.47360380241045,83.33050415888643
ENSG00000013563,45.41673739602784,44.11814632490239
ENSG00000013573,65.94381259548464,63.87285690035648
ENSG00000013583,65.8164997453743,81.0897979969445
ENSG00000013588,99.4101171278221,77.33406891868952
ENSG00000013619,57.45628925479546,50.12731285011034
ENSG00000013725,45.52283143778645,49.73264301476829
ENSG00000013810,53.23374639280259,59.93040230860635
ENSG00000014123,93.29485656085555,86.5727380750297
ENSG00000014138,50.58563911050755,47.05058563911051
ENSG00000014164,30.716346969954166,35.89797996944492
ENSG00000014216,79.2055678153115,66.90290273298251
ENSG00000014257,38.88558818536751,41.644033271091494
ENSG00000014641,96.25700220675607,96.6601595654388
ENSG00000014824,90.27754201324055,81.98098794771686
ENSG00000014914,70.84535732473263,63.694618910202
ENSG00000014919,85.77491088100491,80.50415888643694
ENSG00000015133,55.313189611271426,44.26243422169411
ENSG00000015153,78.87455440502461,78.00458326260397
ENSG00000015171,86.28416228144627,88.51213715837719
ENSG00000015285,27.728738754031575,21.40553386521813
ENSG00000015475,78.31013410286877,69.852317093872
ENSG00000015479,97.50891189950772,97.71261245968427
ENSG00000015520,26.689017144797152,24.758105584790357
ENSG00000015532,78.89152945170599,87.94771685622136
ENSG00000015568,95.47190629774232,92.70921745034799
ENSG00000015592,30.62298421320659,43.226956374130026
ENSG00000015676,88.01561704294687,85.17654048548634
ENSG00000016082,13.529112205058563,8.65727380750297
ENSG00000016391,86.28840604311662,92.40366661008318
ENSG00000016402,58.1268035987099,38.804956713630965
ENSG00000016602,42.61585469360041,17.62858597861144
ENSG00000016864,82.24834493294857,76.8460363265999
ENSG00000017260,91.88592768630114,94.68256662705824
ENSG00000017427,39.35664573077576,46.88932269563742
ENSG00000017797,91.57613308436598,94.80987947716855
ENSG00000018189,93.83805805465964,94.86504837888305
ENSG00000018236,33.67424885418435,69.96689865897132
ENSG00000018280,65.3114921066033,62.97317942624342
ENSG00000018408,91.1390256323205,93.52826345272449
ENSG00000018510,79.45594975386182,80.1010015277542
ENSG00000018610,66.61432693939908,69.16907146494653
ENSG00000018625,26.867255134951623,36.0677304362587
ENSG00000018699,67.22118485825837,70.88779494143608
ENSG00000018869,39.88711593956884,16.76710235953149
ENSG00000019102,64.322695637413,43.92293328806654
ENSG00000019144,65.91835002546257,78.4162281446274
ENSG00000019169,77.83907655746053,48.17942624342217
ENSG00000019186,99.50347988456969,95.48039382108301
ENSG00000019485,47.564080801222204,41.32575114581565
ENSG00000019505,23.26430147682906,33.58088609743677
ENSG00000019549,50.806314717365474,83.41962315396367
ENSG00000019582,97.39433033440842,94.61466644033271
ENSG00000019991,66.53793922933288,56.88338142929893
ENSG00000019995,82.87217789848921,78.85757935834323
ENSG00000020129,58.81853675097607,56.828212527584455
ENSG00000020181,26.71023595314887,27.435919198777796
ENSG00000020219,6.62451196740791,5.818197250042437
ENSG00000020256,62.854354099473774,60.163809200475306
ENSG00000020426,84.75640808012223,91.51247665931082
ENSG00000020577,87.68035987098965,89.12748260057715
ENSG00000020633,53.99762349346461,60.87251739942284
ENSG00000020922,82.32048888134442,81.97250042437616
ENSG00000021300,52.72873875403158,2.3340689186895265
ENSG00000021355,93.8804956713631,84.03921235783397
ENSG00000021461,47.317942624342216,45.42946868103887
ENSG00000021488,44.50008487523341,42.52249193685282
ENSG00000021574,75.88694618910202,81.785774910881
ENSG00000021645,41.93260906467493,54.7869631641487
ENSG00000021762,31.840943812595484,37.70582244101171
ENSG00000021776,88.60974367679512,91.72466474282804
ENSG00000021826,56.36139874384655,61.407231369886276
ENSG00000022267,33.2413851638092,77.88575793583432
ENSG00000022277,91.23238838906808,89.2845017823799
ENSG00000022355,26.744186046511626,31.904600237650655
ENSG00000022556,62.0862332371414,64.08928874554405
ENSG00000022567,52.266168731964015,58.43235443897471
ENSG00000022840,94.71227295875063,91.68222712612459
ENSG00000022976,63.007129519606174,71.35460872517399
ENSG00000023041,83.13104736038024,87.75674758105585
ENSG00000023171,39.259039212357834,43.49431335936173
ENSG00000023191,85.3250721439484,84.87947716856222
ENSG00000023228,87.76099134272619,88.68188762519097
ENSG00000023287,97.43252418944152,96.65167204209811
ENSG00000023318,95.78594466134783,88.88983194703786
ENSG00000023330,76.42166015956545,73.96876591410626
ENSG00000023445,98.1921575284332,99.43982345951451
ENSG00000023516,85.05771515871669,83.46630453233746
ENSG00000023572,81.84943133593617,78.5392972330674
ENSG00000023608,81.96401290103547,88.71159395688338
ENSG00000023697,85.22746562553047,55.56781531149211
ENSG00000023734,95.76896961466645,95.82413851638091
ENSG00000023839,36.47088779494144,59.01799354948226
ENSG00000023892,31.459005262264473,60.14259039212357
ENSG00000023902,47.58105584790358,61.90375148531658
ENSG00000023909,96.70259718214224,98.6292649804787
ENSG00000024048,93.74893905958241,94.24970293668308
ENSG00000024422,83.00797827194025,87.06925819046002
ENSG00000024526,47.60651841792565,28.35257171957223
ENSG00000024862,76.12035308097097,71.21880835172296
ENSG00000025039,92.69648616533695,72.45374299779324
ENSG00000025156,75.57290782549651,74.5628925479545
ENSG00000025293,92.17025971821423,90.5024613817688
ENSG00000025423,12.769478866066883,20.875063656425056
ENSG00000025434,47.53437446952979,33.177728738754034
ENSG00000025708,75.73841453063996,76.17552198268545
ENSG00000025770,48.344932948565614,55.77151587166864
ENSG00000025772,82.23561364793753,73.41707689696146
ENSG00000025796,96.1551519266678,95.71380071295195
ENSG00000025800,97.05482940078085,96.82991003225258
ENSG00000026025,93.55796978441691,98.36615175691733
ENSG00000026036,9.047699881174672,19.487353590222373
ENSG00000026103,79.3498557121032,94.5085723985741
ENSG00000026297,52.02851807842471,30.253776947886607
ENSG00000026508,99.5331862162621,99.79629943982346
ENSG00000026559,41.593108131047366,45.8793074180954
ENSG00000026652,30.58054659650314,62.29842132065863
ENSG00000026751,41.18570701069428,45.61619419453404
ENSG00000026950,69.65710405703615,60.80461721269733
ENSG00000027001,51.7993549482261,60.600916652520795
ENSG00000027075,78.19555253776947,64.75555932778815
ENSG00000027697,98.42132065863181,99.19792904430487
ENSG00000027847,54.3201493804108,48.459514513664914
ENSG00000028116,85.7621795959939,69.08419623153964
ENSG00000028137,70.77321337633678,49.85146834153794
ENSG00000028203,96.27397725343745,93.8338142929893
ENSG00000028277,52.652351043965375,58.84399932099813
ENSG00000028310,64.75555932778815,70.39976234934646
ENSG00000028528,88.5418434900696,87.19232727890002
ENSG00000028839,79.05703615684943,77.9791206925819
ENSG00000029153,83.18197250042438,80.80970972670175
ENSG00000029363,97.7635375997284,97.70412493634358
ENSG00000029364,94.64012901035478,94.68681038872857
ENSG00000029534,43.70225768120862,48.930572059073164
ENSG00000029639,75.54320149380412,73.72687149889661
ENSG00000029725,83.22865387879817,87.48090307248346
ENSG00000029993,71.74927856051603,52.46986929214056
ENSG00000030066,80.00763877100661,86.05924291291801
ENSG00000030110,42.679511118655576,54.982176200984554
ENSG00000030304,29.85486335087422,21.515871668647087
ENSG00000030419,50.87845866576133,66.76285859786114
ENSG00000030582,91.89865897131217,81.61602444406722
ENSG00000031003,75.05941266338483,81.28925479545069
ENSG00000031081,37.63367849261586,81.59480563571549
ENSG00000031691,51.6465795280937,60.817348497708366
ENSG00000031698,97.62349346460702,97.43252418944152
ENSG00000031823,63.07927346800204,64.12748260057715
ENSG00000032219,90.59582413851638,81.30622984213205
ENSG00000032389,53.683585129859104,65.71464946528603
ENSG00000032444,51.32829740281786,58.254116448820234
ENSG00000032742,78.74724155491427,68.55796978441691
ENSG00000033011,54.057036156849435,52.049736886776444
ENSG00000033030,80.94975386182311,84.70972670174844
ENSG00000033050,77.63113223561365,86.92072653199796
ENSG00000033100,67.84501782379901,57.859446613478184
ENSG00000033122,50.9421150908165,36.097436767951116
ENSG00000033170,86.19079952469869,83.92038703106434
ENSG00000033178,98.13698862671872,97.22457986759464
ENSG00000033327,74.4101171278221,54.75301307078595
ENSG00000033627,76.85876761161093,81.23832965540655
ENSG00000033800,92.3866915634018,91.16024444067222
ENSG00000033867,95.37854354099474,93.03598709896453
ENSG00000034053,39.50093362756748,41.10931930062808
ENSG00000034152,79.26922424036667,86.89102020030555
ENSG00000034239,32.34170768969615,44.23697165167204
ENSG00000034510,99.28280427771176,98.2770327618401
ENSG00000034533,73.17942624342217,57.706671193345784
ENSG00000034677,93.97385842811067,91.36394500084876
ENSG00000034693,71.95722288236293,75.78509590901375
ENSG00000034713,94.32609064674928,97.46647428280428
ENSG00000035115,85.97012391784078,77.70327618400951
ENSG00000035141,87.6761161093193,78.75572907825497
ENSG00000035403,94.13087760991343,95.05601765404855
ENSG00000035499,37.90527923951791,30.300458326260397
ENSG00000035664,80.2240706161942,74.9618061449669
ENSG00000035681,74.18519775929384,75.92938380580546
ENSG00000035687,82.26956374130029,76.68052962145646
ENSG00000035720,26.901205228314378,7.93583432354439
ENSG00000035862,61.89102020030555,85.76642335766424
ENSG00000035928,91.5209641826515,91.70344593447632
ENSG00000036054,91.10507553895773,87.93074180953998
ENSG00000036257,93.39246307927347,87.90103547784757
ENSG00000036448,36.54727550500764,35.06620268205737
ENSG00000036530,82.50297063316924,79.34561195043285
ENSG00000036549,85.38448480733322,91.3215073841453
ENSG00000036565,17.348497708368697,25.937871329146155
ENSG00000036672,56.526905448989986,46.8978102189781
ENSG00000036828,60.032252588694625,56.95552537769479
ENSG00000037042,73.88389068069937,70.31488711593957
ENSG00000037241,80.07129519606178,78.87031064335427
ENSG00000037280,34.69275165506705,41.78832116788321
ENSG00000037474,65.75284332031913,82.40960787642166
ENSG00000037637,84.20471906297742,84.08589373620778
ENSG00000037749,68.76167034459345,66.30877609913426
ENSG00000037757,63.372093023255815,57.78305890341199
ENSG00000037897,66.23238838906808,79.61296893566457
ENSG00000037965,25.13155661178068,37.47241554914276
ENSG00000038002,74.59259887964691,48.28127652351044
ENSG00000038210,57.30775759633339,58.34323544389747
ENSG00000038219,94.7080291970803,93.92717704973688
ENSG00000038274,86.95892038703107,90.20964182651502
ENSG00000038295,5.198608046172127,47.30945510100153
ENSG00000038358,70.31488711593957,67.51400441351214
ENSG00000038382,93.19725004243762,93.84230181633
ENSG00000038427,56.85367509760651,77.24919368528263
ENSG00000038532,66.77558988287218,71.27822101510779
ENSG00000038945,49.63079273468002,67.3866915634018
ENSG00000039068,98.34068918689528,89.96350364963503
ENSG00000039123,88.91529451705992,95.27669326090647
ENSG00000039139,73.743846545578,49.29129180105245
ENSG00000039319,90.93956883381429,86.02104905788491
ENSG00000039523,58.73790527923952,76.71447971481922
ENSG00000039537,6.089797996944492,4.256492955355627
ENSG00000039560,89.29723306739093,96.82566627058225
ENSG00000039650,54.30317433372942,54.3583432354439
ENSG00000039987,38.30843659820064,44.95416737396028
ENSG00000040199,75.0381938550331,77.86878288915294
ENSG00000040275,59.10286878288915,60.855542352741466
ENSG00000040341,76.5319979629944,62.75250381938551
ENSG00000040487,44.14785265659481,66.10931930062807
ENSG00000040531,56.29774231879138,60.33355966728908
ENSG00000040608,36.13987438465456,11.216262094720761
ENSG00000040633,74.35494822610762,60.12985910711255
