gen_name,astrocyte,neuron,olfactory projection neuron,"olfactory projection neuron innervating DA1, VA1d or DC3 glomerulus",olfactory projection neuron innervating VM2 glomerulus,olfactory projection neuron innvervating DC2 glomerulus
FBgn0037215,97.24762872628726,0.0,51.85467479674797,0.0,0.0,0.0
FBgn0037218,63.17750677506775,95.69783197831978,79.56470189701898,87.12737127371274,76.42276422764228,79.42920054200542
FBgn0037220,82.5711382113821,90.13380758807588,84.4850948509485,79.10738482384824,84.87466124661248,76.23644986449864
FBgn0037222,0.0,60.99254742547425,26.185636856368568,21.561653116531165,32.46951219512195,0.0
FBgn0037223,0.0,0.0,38.5840108401084,42.57283197831978,49.991531165311656,42.1239837398374
FBgn0037224,0.0,0.0,16.429539295392953,27.371273712737125,38.21985094850949,0.0
FBgn0037225,0.0,0.0,34.112466124661246,50.389566395663955,35.92479674796748,0.0
FBgn0037227,0.0,0.0,19.23272357723577,12.643970189701898,0.0,0.0
FBgn0037228,0.0,0.0,23.822831978319783,22.12059620596206,30.42005420054201,33.46883468834688
FBgn0037229,0.0,0.0,31.487127371273715,51.31266937669376,47.764227642276424,41.073848238482384
FBgn0037230,0.0,74.22086720867209,46.451558265582655,45.49457994579946,55.8519647696477,48.136856368563684
FBgn0037231,73.59417344173443,91.60738482384824,80.90277777777779,82.02913279132791,80.9959349593496,82.51185636856368
FBgn0037232,0.0,85.85704607046071,68.30115176151762,71.59552845528455,78.5060975609756,74.66124661246613
FBgn0037234,0.0,83.18089430894308,69.40210027100271,72.67107046070461,69.12262872628726,69.66463414634147
FBgn0037235,80.16598915989161,45.06266937669376,63.77879403794038,40.828252032520325,44.96951219512195,32.09688346883468
FBgn0037236,0.0,0.0,25.770663956639567,9.637533875338754,0.0,0.0
FBgn0037238,62.78794037940379,96.79878048780488,89.47323848238482,95.46917344173443,54.97120596205962,94.79166666666666
FBgn0037239,65.71815718157181,71.17208672086721,79.95426829268293,89.380081300813,79.38685636856368,72.48475609756098
FBgn0037240,0.0,88.77879403794037,74.7459349593496,49.644308943089435,54.49695121951219,65.71815718157181
FBgn0037241,64.97289972899729,48.78048780487805,67.44579945799458,68.18258807588076,69.48678861788618,64.21070460704607
FBgn0037242,0.0,88.51626016260163,77.54911924119241,80.835027100271,77.24424119241192,79.8949864498645
FBgn0037244,80.88584010840108,73.92445799457995,71.10433604336043,76.01626016260163,78.26897018970189,77.15955284552845
FBgn0037248,0.0,0.0,49.542682926829265,50.18631436314364,46.00271002710027,72.5609756097561
FBgn0037249,0.0,82.2069783197832,84.54437669376695,80.95359078590786,87.44071815718158,86.98340108401084
FBgn0037250,0.0,0.0,65.3709349593496,67.70833333333334,68.36043360433605,52.03252032520326
FBgn0037251,82.7489837398374,48.84823848238483,53.963414634146346,55.860433604336045,64.96443089430895,60.57757452574526
FBgn0037252,0.0,60.25575880758808,80.34383468834689,82.5711382113821,84.74762872628726,85.01863143631437
FBgn0037255,0.0,77.50677506775068,80.75033875338752,76.63448509485094,83.84146341463415,65.65040650406505
FBgn0037260,0.0,0.0,0.8468834688346882,12.17818428184282,28.463753387533874,0.0
FBgn0037261,82.69817073170732,94.03794037940379,94.19037940379404,96.34146341463415,96.4939024390244,90.54031165311653
FBgn0037262,71.66327913279133,69.01253387533876,75.23712737127371,69.90176151761518,80.55555555555556,65.15074525745257
FBgn0037263,0.0,69.80860433604336,37.771002710027105,38.63482384823848,48.41632791327913,42.81842818428184
FBgn0037265,0.0,82.24932249322492,18.318089430894307,22.273035230352303,0.0,0.0
FBgn0037270,94.19037940379404,92.29336043360433,96.00271002710026,94.17344173441734,95.17276422764228,94.38516260162602
FBgn0037275,0.0,55.09823848238482,33.02845528455284,33.045392953929536,34.29878048780488,41.24322493224932
FBgn0037276,0.0,0.0,15.193089430894307,24.21239837398374,32.61348238482385,42.01388888888889
FBgn0037279,0.0,60.57757452574526,69.26659891598916,64.01592140921409,77.0071138211382,71.3160569105691
FBgn0037280,0.0,0.0,15.396341463414634,21.680216802168022,0.0,0.0
FBgn0037282,63.71104336043361,73.119918699187,88.69410569105692,87.43224932249322,92.66598915989161,83.75677506775068
FBgn0037288,0.0,0.0,3.590785907859079,17.411924119241192,0.0,0.0
FBgn0037290,0.0,0.0,34.358062330623305,26.456639566395662,47.925135501355015,0.0
FBgn0037291,0.0,0.0,20.071138211382113,10.560636856368562,0.0,36.38211382113821
FBgn0037292,0.0,0.0,20.392953929539296,22.450880758807585,0.0,40.91294037940379
FBgn0037293,0.0,0.0,66.46341463414635,64.67649051490515,70.54539295392954,70.90108401084011
FBgn0037294,0.0,0.0,24.661246612466126,14.955962059620594,0.0,0.0
FBgn0037295,0.0,61.78014905149052,34.832317073170735,28.192750677506773,43.478997289972895,32.78285907859079
FBgn0037296,0.0,49.542682926829265,17.674457994579946,6.944444444444445,0.0,0.0
FBgn0037297,0.0,51.53285907859079,71.13821138211382,72.0020325203252,70.38448509485094,60.16260162601627
FBgn0037298,0.0,0.0,67.08163956639567,80.55555555555556,73.58570460704607,62.991192411924125
FBgn0037299,0.0,74.0599593495935,77.41361788617887,76.33807588075881,83.52811653116531,75.29640921409214
FBgn0037301,0.0,56.45325203252033,64.43936314363144,62.80487804878049,74.09383468834689,60.55216802168022
FBgn0037304,0.0,69.89329268292683,55.92818428184282,57.85060975609756,52.33739837398373,67.73373983739837
FBgn0037305,80.9451219512195,81.95291327913279,68.79234417344173,61.46680216802169,76.2110433604336,57.97764227642277
FBgn0037307,0.0,49.24627371273713,26.68529810298103,21.883468834688347,0.0,0.0
FBgn0037310,0.0,0.0,19.766260162601625,19.35128726287263,0.0,37.68631436314363
FBgn0037312,0.0,51.36348238482385,76.1178861788618,67.88617886178862,85.05250677506776,66.86144986449864
